"267","YUPIK 1KG - PINEAPPLE DICED 8-10 MM","YUPIK 1KG - ANANAS EN DÉS 8-10 MM"
"268","YUPIK 1KG - PAPAYA SPEARS","YUPIK 1KG - PAPAYE EN ÉPÉES"
"269","YUPIK 1KG - PAPAYA CHUNKS","YUPIK 1KG - PAPAYES EN MRC. (CHUNK)"
"270","YUPIK 1KG - PAPAYA DICED 8-10 MM","YUPIK 1KG - PAPAYES EN DÉS 8-10 MM"
"271","YUPIK 1KG - SLICED MANGO","YUPIK 1KG - MANGUES TRANCHÉES"
"272","YUPIK 1KG - DICED MANGO 8-10 MM","YUPIK 1KG - MANGUES EN DÉS 8-10 MM"
"273","YUPIK 1KG - DELUXE SLICED GINGER","YUPIK 1KG - GINGEMBRE CRISTALLISÉ DELUXE"
"274","YUPIK 1KG - CRYSTALLIZED SLICED GINGER","YUPIK 1KG - GINGEMBRE TRANCHÉ CRISTALLISÉ"
"275","YUPIK 1KG - GUAVAS","YUPIK 1KG - GOYAVES TRANCHÉES"
"276","YUPIK BULK - FANCY DRIED SLICED KIWI","YUPIK BULK - KIWI TRANCHÉ DE CHOIX"
"277","YUPIK 1KG - DRIED FANCY CANTALOUPE","YUPIK 1KG - CANTALOUP SÉCHÉ DE CHOIX"
"278","YUPIK 1KG - DICED KIWI 8-10 MM","YUPIK 1KG - KIWI EN DÉS 8-10 MM"
"279","YUPIK 1KG - PINEAPPLE STICKS","YUPIK 1KG - ANANAS EN BÂTONNETS"
"280","YUPIK 1KG - PAPAYA STICKS","YUPIK 1KG - PAPAYES EN BÂTONNETS"
"281","YUPIK 1KG - ALOE VERA CHUNKS","YUPIK 1KG - ALOE VERA EN MORCEAUX"
"282","YUPIK 1KG - DRIED FANCY STRAWBERRIES","YUPIK 1KG - FRAISE SÉCHÉES FANCY DE CHOIX"
"283","YUPIK 1KG - DRIED CRANBERRIES","YUPIK 1KG - CANNEBERGES SÉCHÉES"
"290","YUPIK 1KG - PAPAYA SPEARS (NO SULFITE)","YUPIK 1KG - PAPAYES EN ÉPÉES (SANS SULFITE)"
"291","YUPIK 1KG - PAPAYA DICED (NO SULFITE)","YUPIK 1KG - PAPAYES EN DÉS (SANS SULFITE)"
"292","YUPIK 1KG - PINEAPPLE RINGS (NO SULFITE)","YUPIK 1KG - ANANAS EN RONDELLES (SANS SULFITE)"
"293","YUPIK 1KG - PINEAPPLE DICED (NO SULFITE)","YUPIK 1KG - ANANAS EN DÉS (SANS SULFITE)"
