"#","Cod","Title EN","Title FR"
"55","271","YUPIK 1KG - SLICED MANGO","YUPIK 1KG - MANGUES TRANCHÉES"
"56","272","YUPIK 1KG - DICED MANGO 8-10 MM","YUPIK 1KG - MANGUES EN DÉS 8-10 MM"
"57","273","YUPIK 1KG - DELUXE SLICED GINGER","YUPIK 1KG - GINGEMBRE CRISTALLISÉ DELUXE"
"58","274","YUPIK 1KG - CRYSTALLIZED SLICED GINGER","YUPIK 1KG - GINGEMBRE TRANCHÉ CRISTALLISÉ"
"59","275","YUPIK 1KG - GUAVAS","YUPIK 1KG - GOYAVES TRANCHÉES"
"60","276","YUPIK BULK - FANCY DRIED SLICED KIWI","YUPIK BULK - KIWI TRANCHÉ DE CHOIX"
"61","277","YUPIK 1KG - DRIED FANCY CANTALOUPE","YUPIK 1KG - CANTALOUP SÉCHÉ DE CHOIX"
"62","278","YUPIK 1KG - DICED KIWI 8-10 MM","YUPIK 1KG - KIWI EN DÉS 8-10 MM"
"63","279","YUPIK 1KG - PINEAPPLE STICKS","YUPIK 1KG - ANANAS EN BÂTONNETS"
"64","280","YUPIK 1KG - PAPAYA STICKS","YUPIK 1KG - PAPAYES EN BÂTONNETS"
"65","281","YUPIK 1KG - ALOE VERA CHUNKS","YUPIK 1KG - ALOE VERA EN MORCEAUX"
"66","282","YUPIK 1KG - DRIED FANCY STRAWBERRIES","YUPIK 1KG - FRAISE SÉCHÉES FANCY DE CHOIX"
"67","283","YUPIK 1KG - DRIED CRANBERRIES","YUPIK 1KG - CANNEBERGES SÉCHÉES"
"68","290","YUPIK 1KG - PAPAYA SPEARS (NO SULFITE)","YUPIK 1KG - PAPAYES EN ÉPÉES (SANS SULFITE)"
"69","291","YUPIK 1KG - PAPAYA DICED (NO SULFITE)","YUPIK 1KG - PAPAYES EN DÉS (SANS SULFITE)"
"70","292","YUPIK 1KG - PINEAPPLE RINGS (NO SULFITE)","YUPIK 1KG - ANANAS EN RONDELLES (SANS SULFITE)"
"71","293","YUPIK 1KG - PINEAPPLE DICED (NO SULFITE)","YUPIK 1KG - ANANAS EN DÉS (SANS SULFITE)"
"72","294","YUPIK 1KG - PINEAPPLE TIDBITS (NO SULFITE)","YUPIK 1KG - ANANAS TIDBITS (SANS SULFITE)"
"73","295","YUPIK 1KG - MANGO SLICED (NO SULFITE)","YUPIK 1KG - MANGUES TRANCHÉES (SANS SULFITE)"
"74","296","YUPIK 1KG - NATURAL GOJI BERRIES","YUPIK 1KG - BAIES DE GOJI (NATURELLES)"
"75","301","YUPIK 1KG - CHOCOLATE ALMONDS","YUPIK 1KG - AMANDES AU CHOCOLAT"
"76","302","YUPIK 1KG - CHOCOLATE PEANUTS","YUPIK 1KG - ARACHIDES AU CHOCOLAT"
"77","303","YUPIK 1KG - CHOCOLATE RAISINS","YUPIK 1KG - RAISINS AU CHOCOLAT"
"78","304","YUPIK 1KG - MILK CHOCOLATE CRANBERRIES","YUPIK 1KG - CANNEBERGES AU CHOCOLAT (LAIT)"
"79","340","YUPIK 1KG - CHOCOLATE ALMONDS (DARK)","YUPIK 1KG - AMANDES AU CHOCOLAT (NOIR)"
"80","341","YUPIK 1KG - CHOCOLATE RAISINS (DARK)","YUPIK 1KG - RAISINS AU CHOCOLAT (NOIR)"
"81","342","YUPIK 1KG - DARK CHOCOLATE CRANBERRIES","YUPIK 1KG - CANNEBERGES AU CHOCOLAT NOIR"
